zone_id,zone_name,jahr,monat,niederschlag_mm,temperatur_mittel_c
north_taiga,Север (тайга),2025,3,54.1,-3.9
north_taiga,Север (тайга),2025,4,61.0,4.9
north_taiga,Север (тайга),2025,5,56.4,10.5
north_taiga,Север (тайга),2025,6,60.7,19.2
north_taiga,Север (тайга),2025,7,106.0,17.8
north_taiga,Север (тайга),2025,8,43.0,16.7
north_taiga,Север (тайга),2025,9,25.8,10.7
north_taiga,Север (тайга),2025,10,31.2,0.8
north_foreststeppe,Северная лесостепь,1996,3,4.9,-10.1
north_foreststeppe,Северная лесостепь,1996,4,59.5,-1.5
north_foreststeppe,Северная лесостепь,1996,5,32.3,9.6
north_foreststeppe,Северная лесостепь,1996,6,65.7,17.4
north_foreststeppe,Северная лесостепь,1996,7,92.7,19.6
north_foreststeppe,Северная лесостепь,1996,8,75.3,12.7
north_foreststeppe,Северная лесостепь,1996,9,82.2,7.1
north_foreststeppe,Северная лесостепь,1996,10,15.7,-0.1
north_foreststeppe,Северная лесостепь,1997,3,12.5,-3.5
north_foreststeppe,Северная лесостепь,1997,4,14.7,7.5
north_foreststeppe,Северная лесостепь,1997,5,35.1,12.1
north_foreststeppe,Северная лесостепь,1997,6,58.9,15.1
north_foreststeppe,Северная лесостепь,1997,7,67.3,15.5
north_foreststeppe,Северная лесостепь,1997,8,59.9,15.7
north_foreststeppe,Северная лесостепь,1997,9,43.0,10.8
north_foreststeppe,Северная лесостепь,1997,10,37.3,6.4
north_foreststeppe,Северная лесостепь,1998,3,2.0,-8.9
north_foreststeppe,Северная лесостепь,1998,4,43.6,-2.5
north_foreststeppe,Северная лесостепь,1998,5,31.4,10.0
north_foreststeppe,Северная лесостепь,1998,6,38.4,16.9
north_foreststeppe,Северная лесостепь,1998,7,14.4,22.9
north_foreststeppe,Северная лесостепь,1998,8,44.3,19.8
north_foreststeppe,Северная лесостепь,1998,9,78.7,7.8
north_foreststeppe,Северная лесостепь,1998,10,50.1,2.7
north_foreststeppe,Северная лесостепь,1999,3,8.4,-15.7
north_foreststeppe,Северная лесостепь,1999,4,32.7,1.1
north_foreststeppe,Северная лесостепь,1999,5,21.4,13.9
north_foreststeppe,Северная лесостепь,1999,6,31.3,14.2
north_foreststeppe,Северная лесостепь,1999,7,18.7,21.5
north_foreststeppe,Северная лесостепь,1999,8,27.2,16.9
north_foreststeppe,Северная лесостепь,1999,9,40.9,8.7
north_foreststeppe,Северная лесостепь,1999,10,23.5,5.4
north_foreststeppe,Северная лесостепь,2000,3,13.3,-5.9
north_foreststeppe,Северная лесостепь,2000,4,29.0,4.8
north_foreststeppe,Северная лесостепь,2000,5,66.5,10.4
north_foreststeppe,Северная лесостепь,2000,6,37.8,18.3
north_foreststeppe,Северная лесостепь,2000,7,33.5,18.9
north_foreststeppe,Северная лесостепь,2000,8,50.2,16.4
north_foreststeppe,Северная лесостепь,2000,9,19.9,9.8
north_foreststeppe,Северная лесостепь,2000,10,31.4,-0.2
north_foreststeppe,Северная лесостепь,2001,3,47.4,-4.9
north_foreststeppe,Северная лесостепь,2001,4,22.6,2.1
north_foreststeppe,Северная лесостепь,2001,5,44.8,14.5
north_foreststeppe,Северная лесостепь,2001,6,62.1,16.0
north_foreststeppe,Северная лесостепь,2001,7,50.3,16.1
north_foreststeppe,Северная лесостепь,2001,8,98.9,16.6
north_foreststeppe,Северная лесостепь,2001,9,30.3,10.3
north_foreststeppe,Северная лесостепь,2001,10,45.8,0.8
north_foreststeppe,Северная лесостепь,2002,3,32.2,-3.4
